trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29
6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667,6667
13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334,13334
20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001,20001
26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668,26668
33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335,33335
40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002,40002
46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669,46669
53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336,53336
60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003,60003
66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670,66670
73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337,73337
80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004,80004
86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671,86671
93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338,93338
100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005,100005
106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672,106672
113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339,113339
