trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29
62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500,62500
65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500,67500
70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000
72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500
75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000
77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500,77500
80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500,82500
85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000
87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500,87500
90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500,92500
95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000
97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500,97500
100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500
105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000
107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500,107500
110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000
112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500,112500
115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000
117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500,117500
120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000
122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500,122500
125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000
127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500,127500
130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000
132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500
135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500,137500
140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000
142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500,142500
145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000
147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500,147500
150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000
152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500,152500
155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000
157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500,157500
160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000,160000
162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500,162500
165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000
167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500,167500
170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000
172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500,172500
175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000
177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500,177500
180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000
182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500,182500
185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000,185000
187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500,187500
190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000,190000
192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500,192500
195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000
197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500,197500
200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000
202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500,202500
205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000
207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500
210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000
212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500,212500
215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000,215000
217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500
220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000
222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500
225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000
227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500
230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000
232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500
235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000
237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500
240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000
242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500
245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000
247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500
250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000
252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500
255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000
257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500
260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000
262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500,262500
265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000
267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500,267500
270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000
272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500,272500
275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000,275000
277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500,277500
280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000
282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500
285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000,285000
287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500,287500
290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000
292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500,292500
295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000,295000
297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500,297500
300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500,302500
305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000
307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500,307500
310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000,310000
312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500,312500
315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000,315000
317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500,317500
320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000
322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500,322500
325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000,325000
327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500,327500
330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000,330000
332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500,332500
335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000,335000
337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500,337500
340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000,340000
342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500,342500
345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000
347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500,347500
350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000,350000
352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500,352500
355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000,355000
357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500,357500
360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000
362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500,362500
365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000,365000
367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500,367500
370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000,370000
372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500,372500
375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000,375000
377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500,377500
380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000
