trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29
1825,632,6694,4455,1252,5765,8982,1096,8152,3990,4397,3540,2253,1481,9172,698,9516,3674,5044,8102,9426,7294,7802,6796,1161,1226,7641,612,1941,5305
410,4688,8521,6844,6554,1025,5169,5642,4361,8229,894,7480,7192,3216,189,6026,3231,1387,4644,2978,2835,7279,2046,4733,5112,1903,8205,1571,4819,8331
4507,2359,8880,7996,655,7049,2161,6771,5966,9049,8399,8226,9111,2458,7761,9662,3371,7529,9470,9121,1068,4819,6619,4714,7121,6691,1819,2735,7528,139
4013,7579,1912,4222,9644,9071,9125,1811,3973,2654,7928,7909,4882,4960,8574,9918,3296,373,2526,3552,3902,4145,8785,8426,4035,7662,9941,1093,7374,4341
3658,6061,2895,1342,9616,7433,8762,5301,7753,4032,6079,8529,7914,1306,4934,317,676,2232,4352,5253,7615,7935,277,3604,7303,6805,9500,9915,2235,2537
2287,1578,6219,4968,3745,9352,4953,9083,5408,3792,6666,5910,7988,3011,8893,3685,3153,4914,3763,4806,5078,1427,3335,7271,4818,4373,3988,5647,5279,3265
1680,7426,3690,5550,8450,5628,8280,8377,1396,9050,558,7449,6233,4947,6891,8424,7363,382,7922,5259,5829,6336,4402,7512,4196,9771,7076,5375,1752,4315
8936,9811,4745,354,2490,4218,3158,814,8823,4192,2299,512,3589,1451,3784,5263,6643,174,7655,455,2804,1287,3300,8663,9183,7037,7688,8999,2534,1422
1425,8164,477,1186,9564,8396,7142,735,5200,6511,2608,603,7316,5762,1549,7822,5791,7946,5449,7966,8324,1236,2416,7260,1560,7992,4350,6792,9799,3269
9675,9978,3682,7935,8816,6334,2714,4521,3677,8984,6767,2774,5408,7733,6139,4756,4718,6198,675,5857,3066,3318,1308,9032,8109,4556,5397,7616,3548,8393
6913,314,1912,181,528,6430,2534,2529,9121,7596,3001,5633,9460,8857,1110,7161,4265,7946,1511,5888,2647,4765,6828,5553,3019,3339,7179,7019,6727,897
521,8423,9318,1882,498,671,1762,7452,1397,8981,5671,2169,6261,6314,5528,6193,7374,8783,3039,1067,128,1212,7210,7152,7677,652,9065,9291,6228,9740
489,7085,145,4651,1130,6858,8079,744,2512,8578,7202,4277,3421,6356,4186,323,6866,4877,2524,6644,4270,5030,3249,3696,8562,2897,5919,7171,3845,3176
1536,9448,1642,1929,5245,388,3612,8948,5689,5611,19,919,3278,8250,9402,2709,4652,2577,6389,7559,2813,985,404,1180,2097,4719,2729,8511,6552,8270
3583,6101,2568,5097,893,1679,3573,8263,1614,9603,561,2773,918,6648,3396,8466,9503,9545,761,5404,2012,3645,1371,9191,1139,574,9071,5263,1189,397
3812,8962,8417,586,506,11,8383,3591,5694,5902,8916,769,8121,5214,367,9902,1714,5553,3923,2746,496,2097,6602,7654,5954,2589,2030,9175,8270,8630
8280,7112,4965,1092,2219,4323,9119,9873,5233,6337,6344,5903,8994,7027,9384,6109,204,2891,151,5483,7743,5377,88,4327,2740,7201,685,8982,5240,5992
9864,6455,6201,2213,8990,7890,8333,4686,3644,4550,7176,3754,7420,8753,3456,6193,8023,8616,6758,104,7719,3848,1046,3225,6675,2968,8942,7214,4520,7490
435,2887,9683,4450,4839,8957,2539,9394,3097,6618,182,7224,9793,665,892,6524,3498,1867,2733,8240,8499,4486,2861,7756,7503,2016,7897,2326,6167,2132
9196,946,6637,2526,8647,150,7730,6082,1127,125,3888,3248,1491,4215,9536,1784,7700,1658,2141,1504,310,9816,1728,750,8273,1565,1738,6754,7305,5724
3258,1759,5344,3458,5402,5171,3558,6555,5390,1867,1137,3749,8883,673,9126,9585,1204,6110,5016,2856,5616,495,9613,4209,508,8048,5611,6425,1579,2733
